Transaction ID,Date,Description,Counterparty,Amount,Method
T1051,2026-01-01,Rent,Landlord,-$9000.00,ACH
T1031,2026-01-03,Food inventory purchase - Sysco,Sysco,-$4151.25,ACH/card
T1052,2026-01-04,POS/software subscription,Toast,-$875.00,ACH/card
T1053,2026-01-05,Insurance premium,Next Insurance,-$1250.00,ACH
T1032,2026-01-06,Food inventory purchase - US Foods,US Foods,-$4814.71,ACH/card
T1041,2026-01-07,Beverage inventory purchase - Southern Glazer's,Southern Glazer's,-$1779.21,ACH/card
T1054,2026-01-07,Accounting/bookkeeping,LedgerPro Bookkeeping,-$650.00,ACH
T1001,2026-01-08,POS batch deposit - food sales week 1,Toast POS,$17513.84,Bank deposit
T1002,2026-01-08,POS batch deposit - beverage sales week 1,Toast POS,$5163.62,Bank deposit
T1003,2026-01-08,Catering invoice payment week 1,Corporate Catering Client,$750.84,ACH deposit
T1044,2026-01-08,To-go packaging and disposables,Restaurant Depot,-$1043.52,Card
T1004,2026-01-09,Delivery marketplace payout week 1,DoorDash/Uber Eats,$4671.96,ACH deposit
T1005,2026-01-09,Refunds and discounts week 1,Toast POS,-$571.30,POS adjustment
T1055,2026-01-09,Internet and phone,Comcast Business,-$420.00,Card
T1006,2026-01-10,Delivery platform commission week 1,DoorDash/Uber Eats,-$1217.52,Marketplace deduction
T1033,2026-01-10,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$2376.81,ACH/card
T1061,2026-01-10,Equipment purchase - new oven,Restaurant Equipment World,-$7800.00,ACH
T1056,2026-01-12,Utilities - electric/gas/water,City Utilities,-$2031.72,ACH
T1034,2026-01-13,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$4422.96,ACH/card
T1007,2026-01-15,POS batch deposit - food sales week 2,Toast POS,$18283.62,Bank deposit
T1008,2026-01-15,POS batch deposit - beverage sales week 2,Toast POS,$5250.24,Bank deposit
T1009,2026-01-15,Catering invoice payment week 2,Corporate Catering Client,$1987.27,ACH deposit
T1042,2026-01-15,Beverage inventory purchase - Craft Beer Distributor,Craft Beer Distributor,-$1858.49,ACH/card
T1046,2026-01-15,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$16360.64,ACH
T1010,2026-01-16,Delivery marketplace payout week 2,DoorDash/Uber Eats,$4435.61,ACH deposit
T1011,2026-01-16,Refunds and discounts week 2,Toast POS,-$400.93,POS adjustment
T1035,2026-01-16,Food inventory purchase - Bakery Supply,Bakery Supply,-$3735.86,ACH/card
T1047,2026-01-16,Payroll taxes and benefits,Gusto Payroll,-$1892.64,ACH
T1057,2026-01-16,Cleaning and linen service,LinenPro,-$1193.59,ACH
T1012,2026-01-17,Delivery platform commission week 2,DoorDash/Uber Eats,-$1110.33,Marketplace deduction
T1036,2026-01-18,Food inventory purchase - Sysco,Sysco,-$2286.92,ACH/card
T1058,2026-01-18,Marketing - local ads,Meta/Google/Yelp,-$2121.28,Card
T1062,2026-01-20,Sales tax remittance,Florida Dept. of Revenue,-$6150.00,ACH
T1037,2026-01-21,Food inventory purchase - US Foods,US Foods,-$4269.38,ACH/card
T1013,2026-01-22,POS batch deposit - food sales week 3,Toast POS,$15647.22,Bank deposit
T1014,2026-01-22,POS batch deposit - beverage sales week 3,Toast POS,$5406.76,Bank deposit
T1015,2026-01-22,Catering invoice payment week 3,Corporate Catering Client,$909.40,ACH deposit
T1045,2026-01-22,To-go packaging and disposables,Restaurant Depot,-$698.27,Card
T1059,2026-01-22,Repairs and maintenance,Kitchen Repair Co.,-$1256.72,Card
T1016,2026-01-23,Delivery marketplace payout week 3,DoorDash/Uber Eats,$5065.12,ACH deposit
T1017,2026-01-23,Refunds and discounts week 3,Toast POS,-$401.52,POS adjustment
T1043,2026-01-23,Beverage inventory purchase - Beverage Depot,Beverage Depot,-$2691.48,ACH/card
T1018,2026-01-24,Delivery platform commission week 3,DoorDash/Uber Eats,-$1293.41,Marketplace deduction
T1038,2026-01-24,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$4493.60,ACH/card
T1060,2026-01-25,Office/admin supplies,Staples/Amazon,-$335.80,Card
T1039,2026-01-27,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$3198.22,ACH/card
T1048,2026-01-28,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$15260.37,ACH
T1050,2026-01-28,Manager salary payroll,Gusto Payroll,-$6500.00,ACH
T1019,2026-01-29,POS batch deposit - food sales week 4,Toast POS,$18031.60,Bank deposit
